"","Cst_Cnt","Sta_ID","Depthm","T_degC","Salnty","O2ml_L","O2Sat","Oxy_µmol.Kg","ChlorA","Phaeop","PO4uM","SiO3uM","NO2uM","NO3uM","NH3uM","C14A1q","C14A2q"
"858686",34168,"063.3 070.0",0,15.547,32.5768,5.972,104.59,260.93,0.097,0.036,NA,NA,NA,NA,NA,9,9
"858709",34169,"063.3 080.0",0,15.787,32.7537,5.907,104.06,258.07,0.085,0.025,NA,NA,NA,NA,NA,9,9
"858733",34170,"063.3 090.0",0,15.965,32.9637,5.811,102.86,253.39,0.077,0.019,NA,NA,NA,NA,NA,9,9
"858758",34171,"066.7 050.0",0,12.48,33.2165,7.542,124.5,328.57,7.873,2.234,NA,NA,NA,NA,NA,9,9
"858774",34172,"066.7 055.0",0,14.141,32.8255,6.439,109.77,281.28,0.09,0.028,NA,NA,NA,NA,NA,9,9
"858799",34173,"066.7 060.0",0,14.128,32.38,6.231,105.9,272.32,0.124,0.033,NA,NA,NA,NA,NA,9,9
"858822",34174,"066.7 070.0",0,16.104,32.9077,5.87,104.16,256.47,0.136,0.014,NA,NA,NA,NA,NA,9,9
"858844",34175,"066.7 080.0",0,15.741,32.9809,5.806,102.33,253.16,0.09,0.022,NA,NA,NA,NA,NA,9,9
"858867",34176,"066.7 090.0",0,15.453,32.9452,5.875,102.93,256.16,0.126,0.023,NA,NA,NA,NA,NA,9,9
"858892",34177,"070.0 051.0",0,12.194,33.4586,5.803,95.36,252.75,2.305,0.481,NA,NA,NA,NA,NA,9,9
"858913",34178,"070.0 055.0",0,13.508,32.8587,6.365,107.12,277.92,0.617,0.017,NA,NA,NA,NA,NA,9,9
"858934",34179,"070.0 060.0",0,14.999,32.5261,6.185,107.1,270.13,0.151,0.055,NA,NA,NA,NA,NA,9,9
"858955",34180,"070.0 070.0",0,15.563,32.9358,5.849,102.69,255.38,0.083,0.015,NA,NA,NA,NA,NA,9,9
"858980",34181,"070.0 080.0",0,15.781,33.0307,5.785,102.07,252.69,0.065,0.014,NA,NA,NA,NA,NA,9,9
"859001",34182,"070.0 090.0",0,15.517,33.0228,5.815,102.05,254,0.063,0.013,NA,NA,NA,NA,NA,9,9
"859024",34183,"073.3 050.0",0,10.6,33.6558,4.578,72.79,199.69,1.202,0.456,NA,NA,NA,NA,NA,9,9
"859029",34184,"073.3 055.0",0,12.483,33.4341,6.746,111.52,294.3,5.974,0.994,NA,NA,NA,NA,NA,9,9
"859052",34185,"073.3 060.0",0,12.387,33.4584,6.626,109.33,289.19,4.339,1.267,NA,NA,NA,NA,NA,9,9
"859075",34186,"073.3 070.0",0,14.534,32.912,5.95,102.3,259.79,0.151,0.054,NA,NA,NA,NA,NA,9,9
"859098",34187,"073.3 080.0",0,15.312,32.9175,5.92,103.4,258.58,0.108,0.027,NA,NA,NA,NA,NA,9,9
"859122",34188,"073.3 090.0",0,16.3,33.0604,5.764,102.77,251.71,0.051,0.012,NA,NA,NA,NA,NA,9,9
"859147",34189,"076.7 049.0",0,11.978,33.5776,6.208,101.63,270.82,8.264,1.873,0.73,3.52,0.148,5.71,0.36,9,9
"859159",34190,"076.7 051.0",0,12.443,33.251,5.728,94.51,249.98,1.845,0.561,0.81,8.08,0.352,6.78,0.44,9,9
"859182",34191,"076.7 055.0",0,14.796,33.3128,5.959,103.26,260.05,0.347,0.157,0.37,1.62,0.008,0,0.01,9,9
"859213",34192,"076.7 060.0",0,14.542,32.9013,6.093,104.77,266.01,0.344,0.084,NA,NA,NA,NA,NA,NA,NA
"859249",34193,"076.7 070.0",0,14.767,32.8615,5.959,102.91,260.24,0.123,0.042,0.29,1.73,0.012,0,0.28,9,9
"859277",34194,"076.7 080.0",0,15.075,32.9138,5.915,102.82,258.3,0.122,0.01,0.3,1.79,0.005,0,0,9,9
"859307",34195,"076.7 090.0",0,15.934,33.1266,5.77,102.17,252.01,0.114,0.007,0.28,1.95,0,0,0,9,9
"859338",34196,"076.7 100.0",0,16.362,33.2319,5.664,101.22,246.95,0.062,0.023,0.22,1.64,0.01,0,0.06,NA,NA
"859375",34197,"080.0 050.5",0,13.083,33.6303,5.08,85.15,221.57,0.515,0.18,1.11,5.2,0.253,8.45,1.55,9,9
"859381",34198,"080.0 051.0",0,12.92,33.6405,4.883,81.57,212.99,0.47,0.198,1.11,5.88,0.242,8.92,1.7,9,9
"859392",34199,"080.0 055.0",0,12.412,33.3452,5.8,95.69,253.05,2.756,0.925,NA,NA,NA,NA,NA,9,9
"859426",34200,"080.0 060.0",0,14.503,33.3252,5.881,101.31,256.69,0.675,0.219,0.41,2.1,0.071,0.48,0.17,9,9
"859456",34201,"080.0 090.0",0,15.549,33.1671,5.895,103.62,257.35,0.204,0.039,0.31,2.08,0.003,0,0.01,9,9
"859487",34202,"080.0 100.0",0,15.812,33.0434,5.778,102.02,252.24,0.073,0.014,0.33,1.74,0.014,0,1.57,9,9
"859517",34203,"081.7 043.5",0,15.13,33.5721,6.578,114.94,286.91,0.871,0.167,0.44,1.23,0.047,0.8,0.58,9,9
"859524",34204,"081.8 046.9",0,13.433,33.4774,6.942,117.1,303.21,2.799,0.922,0.32,0.72,0.07,0.57,0.24,NA,NA
"859559",34205,"083.3 039.4",0,15.111,33.5908,7.62,133.11,332.68,1.582,0.405,0.13,0.03,0.012,0,0.03,9,9
"859566",34206,"083.3 040.6",0,15.372,33.5765,6.679,117.27,291.62,0.611,0.19,0.31,0.23,0.02,0,0.13,9,9
"859575",34207,"083.3 042.0",0,14.178,33.5493,5.843,100.13,255.13,0.778,0.308,0.62,3.85,0.113,2.95,0.83,9,9
"859588",34208,"083.3 051.0",0,13.404,33.5818,5.337,90.03,233.07,1.724,0.515,0.87,7.67,0.159,6.97,0.18,9,9
"859602",34209,"083.3 055.0",0,14.701,33.3261,6.379,110.33,278.6,0.525,0.097,0.33,0.45,0.027,0.12,0.19,9,9
"859634",34210,"083.3 060.0",0,14.134,33.4431,6.888,117.85,300.7,1.458,0.206,0.33,0.63,0.036,0.34,0.2,9,9
"859664",34211,"083.3 070.0",0,16.438,33.1357,5.686,101.7,248.26,0.092,0.007,0.39,2.24,0.015,0.05,0.11,9,9
"859693",34212,"083.3 080.0",0,16.069,33.2057,5.762,102.36,251.73,0.213,0.037,0.31,1.89,0,0,0,NA,NA
